timestamp_utc,source,canonical_item_id,price,currency,price_basis,volume,availability,object_type,object_subtype,type_name
2026-04-02 07:20:57.050254,steamdt,agent__arno_the_overgrown_guerrilla_warfare,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.056943,steamdt,agent__bio_haz_specialist_swat,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.085357,steamdt,agent__chef_descadron_rouchard_gendarmerie_nationale,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.097763,steamdt,agent__bloody_darryl_the_strapped_the_professionals,14782.75,CNY,listing,,,agent,Agent,Agent
2026-04-02 07:20:57.099407,steamdt,agent__aspirant_gendarmerie_nationale,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.100918,steamdt,agent__blackwolf_sabre,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.102637,steamdt,agent__cmdr_frank_wet_sox_baroud_seal_frogman,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.116709,steamdt,agent__buckshot_nswc_seal,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.134615,steamdt,agent__b_squadron_officer_sas,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.146048,steamdt,agent__crasswater_the_forgotten_guerrilla_warfare,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.155895,steamdt,agent__cmdr_davida_goggles_fernandez_seal_frogman,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.157383,steamdt,agent__chem_haz_capitaine_gendarmerie_nationale,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.168038,steamdt,agent__chem_haz_specialist_swat,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.180956,steamdt,agent__cmdr_mae_dead_cold_jamison_swat,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.182494,steamdt,agent__dragomir_sabre,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.321105,steamdt,agent__elite_trapper_solman_guerrilla_warfare,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.322761,steamdt,agent__dragomir_sabre_footsoldier,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.341195,steamdt,agent__enforcer_phoenix,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.369417,steamdt,agent__getaway_sally_the_professionals,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.376086,steamdt,agent__d_squadron_officer_nzsas,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.382690,steamdt,agent__lieutenant_rex_krikey_seal_frogman,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.392837,steamdt,agent__jungle_rebel_elite_crew,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.424965,steamdt,agent__lieutenant_tree_hugger_farlow_swat,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.451203,steamdt,agent__maximus_sabre,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.463132,steamdt,agent__lt_commander_ricksaw_nswc_seal,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.469769,steamdt,agent__markus_delrow_fbi_hrt,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.475777,steamdt,agent__little_kev_the_professionals,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.487781,steamdt,agent__john_van_healen_kask_swat,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.527390,steamdt,agent__medium_rare_crasswater_guerrilla_warfare,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.529603,steamdt,agent__michael_syfers_fbi_sniper,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.569003,steamdt,agent__number_k_the_professionals,14782.75,CNY,listing,,,agent,Agent,Agent
2026-04-02 07:20:57.577668,steamdt,agent__officer_jacques_beltram_gendarmerie_nationale,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.589188,steamdt,agent__operator_fbi_swat,14782.75,CNY,listing,,,agent,Agent,Agent
2026-04-02 07:20:57.623349,steamdt,agent__osiris_elite_crew,14782.75,CNY,listing,,,agent,agent,agent
2026-04-02 07:20:57.631940,steamdt,agent__primeiro_tenente_brazilian_1st_battalion,14782.75,CNY,listing,,,agent,agent,agent
