timestamp_utc,source,canonical_item_id,item_name,price,currency,price_basis,volume,availability,object_type,object_subtype,type_name
2026-04-02T06:36:46.195402+00:00,steamdt,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,14825.52,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:46.195402+00:00,steamdt,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,93885.27,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:46.195402+00:00,steamdt,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,1668.07,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:46.195402+00:00,steamdt,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,74708.98,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:46.195402+00:00,steamdt,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,729691.94,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:47.601350+00:00,steamdt,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,14825.52,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:47.601350+00:00,steamdt,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,93885.27,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:47.601350+00:00,steamdt,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,1668.07,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:47.601350+00:00,steamdt,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,74708.98,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:47.601350+00:00,steamdt,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,729691.94,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:50.318622+00:00,steamdt,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,14825.52,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:50.318622+00:00,steamdt,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,93885.27,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:50.318622+00:00,steamdt,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,1668.07,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:50.318622+00:00,steamdt,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,74708.98,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:50.318622+00:00,steamdt,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,729691.94,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:51.545157+00:00,steamdt,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,14825.52,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:51.545157+00:00,steamdt,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,93885.27,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:51.545157+00:00,steamdt,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,1668.07,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:51.545157+00:00,steamdt,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,74708.98,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:51.545157+00:00,steamdt,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,729691.94,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:53.001055+00:00,steamdt,agent__b_squadron_officer_sas,B Squadron Officer | SAS,14825.52,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:53.001055+00:00,steamdt,agent__b_squadron_officer_sas,B Squadron Officer | SAS,93885.27,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:53.001055+00:00,steamdt,agent__b_squadron_officer_sas,B Squadron Officer | SAS,1668.07,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:53.001055+00:00,steamdt,agent__b_squadron_officer_sas,B Squadron Officer | SAS,74708.98,CNY,listing,,,agent,agent,agent
2026-04-02T06:36:53.001055+00:00,steamdt,agent__b_squadron_officer_sas,B Squadron Officer | SAS,729691.94,CNY,listing,,,agent,agent,agent
