timestamp_utc,source,canonical_item_id,price,currency,price_basis,volume,availability,object_type,object_subtype,type_name
2026-04-01T09:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,134.9,CNY,listing,6.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.5,CNY,listing,7.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,136.1,CNY,listing,8.0,,agent,agent,agent
2026-04-01T12:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.14,CNY,listing,9.0,,agent,agent,agent
2026-04-01T13:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.74,CNY,listing,10.0,,agent,agent,agent
2026-04-01T14:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,134.78,CNY,listing,1.0,,agent,agent,agent
2026-04-01T15:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.38,CNY,listing,2.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.98,CNY,listing,3.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.02,CNY,listing,4.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.62,CNY,listing,5.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,136.22,CNY,listing,6.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,buff163,agent__1st_lieutenant_farlow_swat,135.26,CNY,listing,7.0,,agent,agent,agent
