timestamp_utc,source,canonical_item_id,item_name,price,currency,price_basis,volume,availability,object_type,object_subtype,type_name
2026-04-01T15:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.93,USD,listing,8.0,,agent,agent,agent
2026-04-01T15:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.34,USD,listing,3.0,,agent,agent,agent
2026-04-01T15:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.82,USD,listing,7.0,,agent,agent,agent
2026-04-01T15:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,27.18,USD,listing,5.0,,agent,agent,agent
2026-04-01T15:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.56,USD,listing,3.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.58,USD,listing,9.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,10.99,USD,listing,4.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.47,USD,listing,8.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,26.83,USD,listing,6.0,,agent,agent,agent
2026-04-01T16:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.75,USD,listing,4.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.77,USD,listing,10.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.18,USD,listing,5.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.66,USD,listing,9.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,27.02,USD,listing,7.0,,agent,agent,agent
2026-04-01T17:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.4,USD,listing,5.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.96,USD,listing,11.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.37,USD,listing,6.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.85,USD,listing,10.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,27.21,USD,listing,8.0,,agent,agent,agent
2026-04-01T18:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.59,USD,listing,6.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.61,USD,listing,12.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.02,USD,listing,7.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.5,USD,listing,11.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,26.86,USD,listing,9.0,,agent,agent,agent
2026-04-01T19:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.78,USD,listing,7.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.8,USD,listing,1.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.21,USD,listing,8.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.69,USD,listing,12.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,27.05,USD,listing,10.0,,agent,agent,agent
2026-04-01T20:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.43,USD,listing,8.0,,agent,agent,agent
2026-04-01T21:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.99,USD,listing,2.0,,agent,agent,agent
2026-04-01T21:00:00+00:00,csfloat,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,11.4,USD,listing,9.0,,agent,agent,agent
2026-04-01T21:00:00+00:00,csfloat,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,26.88,USD,listing,1.0,,agent,agent,agent
2026-04-01T21:00:00+00:00,csfloat,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,27.24,USD,listing,11.0,,agent,agent,agent
2026-04-01T21:00:00+00:00,csfloat,agent__b_squadron_officer_sas,B Squadron Officer | SAS,26.62,USD,listing,9.0,,agent,agent,agent
2026-04-01T22:00:00+00:00,csfloat,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.64,USD,listing,3.0,,agent,agent,agent
