timestamp_utc,source,canonical_item_id,item_name,price,currency,price_basis,volume,availability,object_type,object_subtype,type_name
2026-04-01T07:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.3,USD,listing,4.0,,agent,agent,agent
2026-04-01T07:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.36,USD,listing,3.0,,agent,agent,agent
2026-04-01T07:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.24,USD,listing,3.0,,agent,agent,agent
2026-04-01T07:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,30.88,USD,listing,5.0,,agent,agent,agent
2026-04-01T07:00:00+00:00,csmoney,agent__b_squadron_officer_sas,B Squadron Officer | SAS,29.96,USD,listing,3.0,,agent,agent,agent
2026-04-01T08:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.59,USD,listing,5.0,,agent,agent,agent
2026-04-01T08:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.21,USD,listing,4.0,,agent,agent,agent
2026-04-01T08:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.54,USD,listing,4.0,,agent,agent,agent
2026-04-01T08:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,31.18,USD,listing,6.0,,agent,agent,agent
2026-04-01T08:00:00+00:00,csmoney,agent__b_squadron_officer_sas,B Squadron Officer | SAS,29.82,USD,listing,4.0,,agent,agent,agent
2026-04-01T09:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.45,USD,listing,6.0,,agent,agent,agent
2026-04-01T09:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.07,USD,listing,5.0,,agent,agent,agent
2026-04-01T09:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.39,USD,listing,5.0,,agent,agent,agent
2026-04-01T09:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,31.03,USD,listing,7.0,,agent,agent,agent
2026-04-01T09:00:00+00:00,csmoney,agent__b_squadron_officer_sas,B Squadron Officer | SAS,30.11,USD,listing,5.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.75,USD,listing,7.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.37,USD,listing,6.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.25,USD,listing,6.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,30.89,USD,listing,8.0,,agent,agent,agent
2026-04-01T10:00:00+00:00,csmoney,agent__b_squadron_officer_sas,B Squadron Officer | SAS,29.97,USD,listing,6.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.6,USD,listing,8.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.22,USD,listing,7.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.54,USD,listing,7.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,31.18,USD,listing,1.0,,agent,agent,agent
2026-04-01T11:00:00+00:00,csmoney,agent__b_squadron_officer_sas,B Squadron Officer | SAS,30.26,USD,listing,7.0,,agent,agent,agent
2026-04-01T12:00:00+00:00,csmoney,agent__1st_lieutenant_farlow_swat,1st Lieutenant Farlow | SWAT,22.45,USD,listing,1.0,,agent,agent,agent
2026-04-01T12:00:00+00:00,csmoney,agent__3rd_commando_company_ksk,3rd Commando Company | KSK,24.07,USD,listing,8.0,,agent,agent,agent
2026-04-01T12:00:00+00:00,csmoney,agent__arno_the_overgrown_guerrilla_warfare,Arno The Overgrown | Guerrilla Warfare,30.39,USD,listing,8.0,,agent,agent,agent
2026-04-01T12:00:00+00:00,csmoney,agent__aspirant_gendarmerie_nationale,Aspirant | Gendarmerie Nationale,31.04,USD,listing,2.0,,agent,agent,agent
